hour,src_scion_addr,dst_scion_addr,avg,src_ip_addr,dst_ip_addr
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.3.1:30041",15.80250347705146,134.75.253.186,62.40.110.148
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-225,127.0.0.1:30041",105.13184979137692,134.75.253.186,ccc
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",192.71961057023643,134.75.253.186,137.132.22.29
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",243.019471488178,134.75.253.186,134.75.254.214
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",190.9385257301808,134.75.253.186,134.75.254.68
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3f,10.10.0.1:30041",88.9682892906815,134.75.253.186,134.75.254.171
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",161.26915575369185,134.75.253.186,145.40.89.243
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",39.289847009735745,134.75.253.186,141.44.25.151
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",141.49680111265647,134.75.253.186,200.129.206.243
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-88,127.0.0.1:30041",109.13908205841446,134.75.253.186,128.112.49.68
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",141.35005574136008,200.129.206.243,129.132.230.98
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.1.1:30041",129.68729096989966,200.129.206.243,62.40.110.132
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.2.1:30041",142.70504599944243,200.129.206.243,62.40.110.140
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.3.1:30041",134.38050139275765,200.129.206.243,62.40.110.148
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-225,127.0.0.1:30041",265.86865588399326,200.129.206.243,ccc
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",310.66322832450516,200.129.206.243,137.132.22.29
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",384.1898522442152,200.129.206.243,134.75.254.214
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",308.86629526462394,200.129.206.243,134.75.254.68
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",141.4288102535525,200.129.206.243,134.75.253.186
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",229.99358974358972,200.129.206.243,134.75.254.171
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:48,127.0.0.1:30041",297.64723926380367,200.129.206.243,145.40.89.243
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",174.84137161973794,200.129.206.243,141.44.25.151
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-88,127.0.0.1:30041",266.1419408812047,200.129.206.243,128.112.49.68
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","64-2:0:9,129.132.230.98:30041",128.53305555555556,10.230.53.144,129.132.230.98
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-20965,10.0.1.1:30041",128.00444444444443,10.230.53.144,62.40.110.132
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-20965,10.0.2.1:30041",111.67583333333332,10.230.53.144,62.40.110.140
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-20965,10.0.3.1:30041",120.00861111111112,10.230.53.144,62.40.110.148
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:18,192.168.1.1:30041",298.0311111111111,10.230.53.144,137.132.22.29
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:3b,10.1.0.1:30041",170.78333333333333,10.230.53.144,134.75.254.214
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:3d,10.0.0.1:30041",296.16,10.230.53.144,134.75.254.68
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:3e,10.10.0.1:30041",105.02055555555556,10.230.53.144,134.75.253.186
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:3f,10.10.0.1:30041",16.304166666666667,10.230.53.144,134.75.254.171
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:48,127.0.0.1:30041",232.78361111111113,10.230.53.144,145.40.89.243
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:4a,141.44.25.151:30041",110.85388888888887,10.230.53.144,141.44.25.151
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:5c,127.0.0.1:30041",253.73305555555555,10.230.53.144,200.129.206.243
2025-01-20 02:00:00+00:00,"71-225,10.230.53.144:0","71-88,127.0.0.1:30041",37.01555555555556,10.230.53.144,128.112.49.68
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",191.82998324958123,10.0.0.1,129.132.230.98
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",180.107202680067,10.0.0.1,62.40.110.132
