src_scion_addr,dst_scion_addr,mapped_src_ip,mapped_dst_ip,avg_scion,avg_ip
"71-225,10.230.53.144:0","71-88,127.0.0.1:30041",10.230.53.144,128.112.49.68,30.050636404880613,9.049114104991114
"71-2:0:3b,10.1.0.1:0","64-2:0:9,129.132.230.98:30041",10.1.0.1,129.132.230.98,267.8345281877843,262.73487611768365
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.1.1:30041",10.1.0.1,62.40.110.132,258.4312223352462,254.525887061783
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.2.1:30041",10.1.0.1,62.40.110.140,255.94847607644817,251.1923478604249
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.3.1:30041",10.1.0.1,62.40.110.148,259.2832017941607,258.1571520753679
"71-2:0:3b,10.1.0.1:0","71-225,127.0.0.1:30041",10.1.0.1,ccc,171.3676492846809,
"71-2:0:3b,10.1.0.1:0","71-2:0:18,192.168.1.1:30041",10.1.0.1,137.132.22.29,439.5592195115234,240.23976714210136
"71-2:0:3b,10.1.0.1:0","71-2:0:3d,10.0.0.1:30041",10.1.0.1,134.75.254.68,437.81921421633285,113.31396632853706
"71-2:0:3b,10.1.0.1:0","71-2:0:3e,10.10.0.1:30041",10.1.0.1,134.75.253.186,244.34628230295235,242.87309787867602
"71-2:0:3b,10.1.0.1:0","71-2:0:3f,10.10.0.1:30041",10.1.0.1,134.75.254.171,154.96792032801207,154.0441572684534
"71-2:0:3b,10.1.0.1:0","71-2:0:48,127.0.0.1:30041",10.1.0.1,145.40.89.243,203.26981178618078,233.12854924260873
"71-2:0:3b,10.1.0.1:0","71-2:0:4a,141.44.25.151:30041",10.1.0.1,141.44.25.151,287.69285586744365,267.74984456000414
"71-2:0:3b,10.1.0.1:0","71-2:0:5c,127.0.0.1:30041",10.1.0.1,200.129.206.243,329.71290393901836,311.7353627923535
"71-2:0:3b,10.1.0.1:0","71-88,127.0.0.1:30041",10.1.0.1,128.112.49.68,175.35948497103215,173.20787695769917
"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",10.0.0.1,129.132.230.98,186.0820134535168,374.5422678328895
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",10.0.0.1,62.40.110.132,174.22930555126982,366.86086897235907
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041",10.0.0.1,62.40.110.140,179.31809067794237,363.50585283549367
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041",10.0.0.1,62.40.110.148,182.03632102293022,370.52234021282715
"71-2:0:3d,10.0.0.1:0","71-225,127.0.0.1:30041",10.0.0.1,ccc,281.2510761569753,
"71-2:0:3d,10.0.0.1:0","71-2:0:18,192.168.1.1:30041",10.0.0.1,137.132.22.29,2.0391747935942783,327.3411186089632
"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041",10.0.0.1,134.75.254.214,429.14048771974467,112.02340954733833
"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041",10.0.0.1,134.75.253.186,202.9461677183682,355.13767902226766
"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041",10.0.0.1,134.75.254.171,273.7223482501157,266.00142367165694
"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041",10.0.0.1,145.40.89.243,280.6058849760518,320.97671668596166
