"hour","avg_rtt","success_ratio","prcount","src_scion_addr"
"2025-01-20 04:00:00+00","232.4647854693726253","1.00000000000000000000","43164","71-2:0:48,127.0.0.1:0"
"2025-01-20 04:00:00+00","221.3095138888888889","1.00000000000000000000","43200","71-2:0:5c,127.0.0.1:0"
"2025-01-20 05:00:00+00","122.4211799835255354","1.00000000000000000000","19424","71-20965,10.0.1.1:0"
"2025-01-20 05:00:00+00","118.1721081441551585","1.00000000000000000000","35989","71-20965,10.0.2.1:0"
"2025-01-20 05:00:00+00","122.2441944444444444","1.00000000000000000000","36000","71-20965,10.0.3.1:0"
"2025-01-20 05:00:00+00","235.3519933392105005","1.00000000000000000000","20418","71-2:0:3d,10.0.0.1:0"
"2025-01-20 05:00:00+00","101.7190277777777778","1.00000000000000000000","43200","71-2:0:3e,10.10.0.1:0"
"2025-01-20 05:00:00+00","232.4282043565823283","1.00000000000000000000","43199","71-2:0:48,127.0.0.1:0"
"2025-01-20 05:00:00+00","221.1204629629629630","1.00000000000000000000","43200","71-2:0:5c,127.0.0.1:0"
"2025-01-20 06:00:00+00","118.1837432263443101","1.00000000000000000000","35985","71-20965,10.0.2.1:0"
"2025-01-20 06:00:00+00","122.2835783702965363","1.00000000000000000000","8026","71-20965,10.0.3.1:0"
"2025-01-20 06:00:00+00","101.7218917104562606","1.00000000000000000000","43199","71-2:0:3e,10.10.0.1:0"
"2025-01-20 06:00:00+00","232.6174645800537087","1.00000000000000000000","43196","71-2:0:48,127.0.0.1:0"
"2025-01-20 06:00:00+00","221.0640889094697847","1.00000000000000000000","43190","71-2:0:5c,127.0.0.1:0"
"2025-01-20 07:00:00+00","118.2410000000000000","1.00000000000000000000","36000","71-20965,10.0.2.1:0"
"2025-01-20 07:00:00+00","101.7069544475579537","1.00000000000000000000","43181","71-2:0:3e,10.10.0.1:0"
"2025-01-20 07:00:00+00","232.7304629629629630","1.00000000000000000000","43200","71-2:0:48,127.0.0.1:0"
"2025-01-20 07:00:00+00","120.8405797101449275","1.00000000000000000000","828","71-2:0:4a,141.44.25.151:0"
"2025-01-20 07:00:00+00","221.1234259259259259","1.00000000000000000000","43200","71-2:0:5c,127.0.0.1:0"
"2025-01-20 08:00:00+00","118.6217306622148024","1.00000000000000000000","35940","71-20965,10.0.2.1:0"
"2025-01-20 08:00:00+00","101.7180852295085762","1.00000000000000000000","43201","71-2:0:3e,10.10.0.1:0"
"2025-01-20 08:00:00+00","232.3859526959589629","1.00000000000000000000","43083","71-2:0:48,127.0.0.1:0"
"2025-01-20 08:00:00+00","120.7582679372197309","1.00000000000000000000","42816","71-2:0:4a,141.44.25.151:0"
