"hour","avg_rtt","prcount","src_addr"
"2025-01-21 15:00:00+00","233.9388076768550855","32357","10.1.0.1"
"2025-01-21 15:00:00+00","150.9864416993070202","53104","10.230.53.144"
"2025-01-21 15:00:00+00","177.1058519793459552","2324","134.75.253.186"
"2025-01-21 15:00:00+00","169.2732061819682016","31511","134.75.254.171"
"2025-01-21 15:00:00+00","122.3202169886213284","37790","141.44.25.151"
"2025-01-21 15:00:00+00","200.2312041068295536","46167","145.40.89.243"
"2025-01-21 15:00:00+00","210.3852025836758661","1703","200.129.206.243"
"2025-01-21 16:00:00+00","380.1988044406490179","23420","10.0.0.1"
"2025-01-21 16:00:00+00","106.0006562397462540","9143","10.0.1.1"
"2025-01-21 16:00:00+00","103.0877192982456140","399","10.0.2.1"
"2025-01-21 16:00:00+00","106.3909090909090909","110","10.0.3.1"
"2025-01-21 16:00:00+00","234.0753718701413223","43093","10.1.0.1"
"2025-01-21 16:00:00+00","151.0975152367557431","53325","10.230.53.144"
"2025-01-21 16:00:00+00","178.2088564537077123","32338","134.75.253.186"
"2025-01-21 16:00:00+00","168.3541265915544564","32751","134.75.254.171"
"2025-01-21 16:00:00+00","122.3277847817261053","46799","141.44.25.151"
"2025-01-21 16:00:00+00","199.4601071602532879","20530","145.40.89.243"
"2025-01-21 16:00:00+00","212.0681137724550898","1336","200.129.206.243"
"2025-01-21 17:00:00+00","380.1084499740798341","28935","10.0.0.1"
"2025-01-21 17:00:00+00","88.7433628318584071","113","10.0.2.1"
"2025-01-21 17:00:00+00","117.1449275362318841","69","10.0.3.1"
"2025-01-21 17:00:00+00","233.9238086399703030","43102","10.1.0.1"
"2025-01-21 17:00:00+00","150.7555812954210025","53527","10.230.53.144"
"2025-01-21 17:00:00+00","177.8664133632972685","43163","134.75.253.186"
"2025-01-21 17:00:00+00","169.0085814306515072","32279","134.75.254.171"
"2025-01-21 17:00:00+00","115.8027296708338112","26157","141.44.25.151"
"2025-01-21 17:00:00+00","195.4305680997109827","44288","145.40.89.243"
"2025-01-21 17:00:00+00","210.8221709006928406","433","200.129.206.243"
"2025-01-21 18:00:00+00","380.8473348783314021","20712","10.0.0.1"
"2025-01-21 18:00:00+00","107.2962962962962963","54","10.0.1.1"
"2025-01-21 18:00:00+00","101.9488817891373802","313","10.0.2.1"
"2025-01-21 18:00:00+00","99.1136363636363636","44","10.0.3.1"
"2025-01-21 18:00:00+00","234.0364333652924257","32333","10.1.0.1"
"2025-01-21 18:00:00+00","151.0797882291315898","53454","10.230.53.144"
"2025-01-21 18:00:00+00","178.0804135028817126","10931","134.75.253.186"
"2025-01-21 18:00:00+00","169.2297034327080252","25694","134.75.254.171"
"2025-01-21 18:00:00+00","99.7368421052631579","19","141.44.25.151"
"2025-01-21 18:00:00+00","200.4773633472972291","39626","145.40.89.243"
"2025-01-21 18:00:00+00","213.9992426155011361","7922","200.129.206.243"
"2025-01-21 19:00:00+00","380.2513355234966433","35005","10.0.0.1"
"2025-01-21 19:00:00+00","93.1578947368421053","19","10.0.2.1"
"2025-01-21 19:00:00+00","233.7865410935071563","43109","10.1.0.1"
"2025-01-21 19:00:00+00","151.0762469337694195","53812","10.230.53.144"
"2025-01-21 19:00:00+00","177.9562314540059347","32352","134.75.253.186"
"2025-01-21 19:00:00+00","169.0404262581061094","26369","134.75.254.171"
"2025-01-21 19:00:00+00","122.2695624689574209","44294","141.44.25.151"
"2025-01-21 19:00:00+00","193.3316285599679101","29916","145.40.89.243"
"2025-01-21 19:00:00+00","211.3241758241758242","728","200.129.206.243"
"2025-01-21 20:00:00+00","380.0100606834877036","37572","10.0.0.1"
"2025-01-21 20:00:00+00","233.9171529128461610","43188","10.1.0.1"
"2025-01-21 20:00:00+00","151.1624556188588886","48444","10.230.53.144"
"2025-01-21 20:00:00+00","178.0900564126962550","29426","134.75.253.186"
"2025-01-21 20:00:00+00","169.2060192102454642","23425","134.75.254.171"
"2025-01-21 20:00:00+00","122.0816052984309706","12683","141.44.25.151"
"2025-01-21 20:00:00+00","200.2560092595084924","37151","145.40.89.243"
"2025-01-21 20:00:00+00","212.7337411461687057","3106","200.129.206.243"
"2025-01-21 21:00:00+00","380.5108704022177161","38959","10.0.0.1"
"2025-01-21 21:00:00+00","99.2871287128712871","101","10.0.2.1"
"2025-01-21 21:00:00+00","233.8327436281859070","33350","10.1.0.1"
"2025-01-21 21:00:00+00","150.9957184957277631","53953","10.230.53.144"
"2025-01-21 21:00:00+00","177.9682943316058841","31067","134.75.253.186"
"2025-01-21 21:00:00+00","169.2184131390238260","43230","134.75.254.171"
"2025-01-21 21:00:00+00","122.1176695151675330","34053","141.44.25.151"
"2025-01-21 21:00:00+00","200.1911426040744021","5645","145.40.89.243"
"2025-01-21 21:00:00+00","212.4987491065046462","16788","200.129.206.243"
"2025-01-21 22:00:00+00","303.6470588235294118","17","10.0.0.1"
"2025-01-21 22:00:00+00","95.1333333333333333","45","10.0.2.1"
"2025-01-21 22:00:00+00","233.8119466012804795","14682","10.1.0.1"
"2025-01-21 22:00:00+00","151.1583875693015149","53931","10.230.53.144"
"2025-01-21 22:00:00+00","177.4819667511975204","7098","134.75.253.186"
"2025-01-21 22:00:00+00","169.3747100844234159","43116","134.75.254.171"
"2025-01-21 22:00:00+00","122.4520254169976172","37770","141.44.25.151"
"2025-01-21 22:00:00+00","200.5234646955176415","46538","145.40.89.243"
"2025-01-21 22:00:00+00","213.2552832403874376","13628","200.129.206.243"
"2025-01-21 23:00:00+00","380.3486720000000000","15625","10.0.0.1"
"2025-01-21 23:00:00+00","106.3125000000000000","96","10.0.3.1"
"2025-01-21 23:00:00+00","234.0073475127438917","28445","10.1.0.1"
"2025-01-21 23:00:00+00","151.0910980384879470","53887","10.230.53.144"
"2025-01-21 23:00:00+00","178.2329169500958506","32342","134.75.253.186"
"2025-01-21 23:00:00+00","169.3133837285185991","36776","134.75.254.171"
"2025-01-21 23:00:00+00","122.2916006339144216","50480","141.44.25.151"
"2025-01-21 23:00:00+00","200.4056473095364944","37540","145.40.89.243"
"2025-01-21 23:00:00+00","213.3051744748676496","17567","200.129.206.243"
"2025-01-22 00:00:00+00","380.3781675113363564","29992","10.0.0.1"
"2025-01-22 00:00:00+00","233.9965384257968590","43044","10.1.0.1"
"2025-01-22 00:00:00+00","151.1861451810130804","53974","10.230.53.144"
"2025-01-22 00:00:00+00","177.8123614436463598","11277","134.75.253.186"
"2025-01-22 00:00:00+00","169.2861646884272997","32352","134.75.254.171"
"2025-01-22 00:00:00+00","122.1120098039215686","16320","141.44.25.151"
"2025-01-22 00:00:00+00","200.2599801170882580","45265","145.40.89.243"
"2025-01-22 00:00:00+00","213.0464879538513743","2947","200.129.206.243"
"2025-01-22 01:00:00+00","380.6303826384922901","35020","10.0.0.1"
"2025-01-22 01:00:00+00","101.9379844961240310","129","10.0.3.1"
"2025-01-22 01:00:00+00","233.8678401149500359","30622","10.1.0.1"
"2025-01-22 01:00:00+00","151.1522416286572477","53934","10.230.53.144"
"2025-01-22 01:00:00+00","178.1885952712100139","32355","134.75.253.186"
"2025-01-22 01:00:00+00","169.3629078950415711","43179","134.75.254.171"
"2025-01-22 01:00:00+00","117.2265666279192645","9463","141.44.25.151"
"2025-01-22 01:00:00+00","200.5003138731952291","11151","145.40.89.243"
"2025-01-22 01:00:00+00","213.3992263466073179","37743","200.129.206.243"
"2025-01-22 02:00:00+00","380.4950681472922952","46737","10.0.0.1"
"2025-01-22 02:00:00+00","96.5955056179775281","89","10.0.2.1"
"2025-01-22 02:00:00+00","233.9722342867779363","32234","10.1.0.1"
"2025-01-22 02:00:00+00","151.0980708289320064","53961","10.230.53.144"
"2025-01-22 02:00:00+00","177.8424994203570601","43130","134.75.253.186"
"2025-01-22 02:00:00+00","169.2233092908662429","28006","134.75.254.171"
"2025-01-22 02:00:00+00","122.2740534815991528","37770","141.44.25.151"
"2025-01-22 02:00:00+00","201.6583780084407437","17534","145.40.89.243"
"2025-01-22 02:00:00+00","213.6264012572027239","9545","200.129.206.243"
"2025-01-22 03:00:00+00","381.0110047846889952","35530","10.0.0.1"
"2025-01-22 03:00:00+00","97.4166666666666667","60","10.0.3.1"
"2025-01-22 03:00:00+00","233.9730152522487290","35798","10.1.0.1"
"2025-01-22 03:00:00+00","151.1187740883486511","53968","10.230.53.144"
"2025-01-22 03:00:00+00","178.2318190790401263","35463","134.75.253.186"
"2025-01-22 03:00:00+00","169.5167584579071597","38130","134.75.254.171"
"2025-01-22 03:00:00+00","122.2734647406247776","42159","141.44.25.151"
"2025-01-22 03:00:00+00","196.3607221812822402","2714","145.40.89.243"
"2025-01-22 03:00:00+00","213.9208272570595254","37715","200.129.206.243"
"2025-01-22 04:00:00+00","380.0656250000000000","960","10.0.0.1"
"2025-01-22 04:00:00+00","234.0487090131474735","12626","10.1.0.1"
"2025-01-22 04:00:00+00","151.0657140931455146","14837","10.230.53.144"
"2025-01-22 04:00:00+00","174.1672060409924488","927","134.75.253.186"
"2025-01-22 04:00:00+00","169.1935731988718913","11701","134.75.254.171"
"2025-01-22 04:00:00+00","126.1908931698774081","1142","141.44.25.151"
"2025-01-22 04:00:00+00","200.5843575418994413","895","145.40.89.243"
"2025-01-22 04:00:00+00","220.5925260287555776","16136","200.129.206.243"
"2025-01-22 05:00:00+00","379.9019607843137255","51","10.0.0.1"
"2025-01-22 05:00:00+00","234.6009019165727170","29271","10.1.0.1"
"2025-01-22 05:00:00+00","151.1329262564584312","40451","10.230.53.144"
"2025-01-22 05:00:00+00","178.9230935674322278","32351","134.75.253.186"
"2025-01-22 05:00:00+00","170.1595092024539877","2608","134.75.254.171"
"2025-01-22 05:00:00+00","122.3334885887284583","10735","141.44.25.151"
"2025-01-22 05:00:00+00","200.6054257635496969","16993","145.40.89.243"
"2025-01-22 05:00:00+00","216.5228976732725545","28409","200.129.206.243"
"2025-01-22 06:00:00+00","380.0800000000000000","25","10.0.0.1"
"2025-01-22 06:00:00+00","234.4177015666794039","20936","10.1.0.1"
"2025-01-22 06:00:00+00","151.0589410835882759","40532","10.230.53.144"
"2025-01-22 06:00:00+00","175.8991769547325103","486","134.75.253.186"
"2025-01-22 06:00:00+00","169.8488779912474006","32219","134.75.254.171"
"2025-01-22 06:00:00+00","122.2433074554945790","29884","141.44.25.151"
"2025-01-22 06:00:00+00","194.4123711340206186","97","145.40.89.243"
"2025-01-22 06:00:00+00","216.2611917816472857","16597","200.129.206.243"
"2025-01-22 07:00:00+00","380.3881090008257638","39963","10.0.0.1"
"2025-01-22 07:00:00+00","93.9836065573770492","61","10.0.2.1"
"2025-01-22 07:00:00+00","106.9386363636363636","440","10.0.3.1"
"2025-01-22 07:00:00+00","234.4930877243775333","27632","10.1.0.1"
"2025-01-22 07:00:00+00","151.1183584887047450","50685","10.230.53.144"
"2025-01-22 07:00:00+00","178.9436027456558036","32342","134.75.253.186"
"2025-01-22 07:00:00+00","170.1267081051748804","40542","134.75.254.171"
"2025-01-22 07:00:00+00","122.1861252115059222","4137","141.44.25.151"
"2025-01-22 07:00:00+00","200.5388280133396856","12594","145.40.89.243"
"2025-01-22 07:00:00+00","216.2008496577767288","38133","200.129.206.243"
"2025-01-22 08:00:00+00","380.6059992283950617","20736","10.0.0.1"
"2025-01-22 08:00:00+00","101.2923076923076923","130","10.0.3.1"
"2025-01-22 08:00:00+00","234.3435195919313703","43130","10.1.0.1"
"2025-01-22 08:00:00+00","151.1009587806277145","12203","10.230.53.144"
"2025-01-22 08:00:00+00","178.3758377728131981","34914","134.75.253.186"
"2025-01-22 08:00:00+00","169.8179193731312506","9699","134.75.254.171"
"2025-01-22 08:00:00+00","122.2708992476973915","14223","141.44.25.151"
"2025-01-22 08:00:00+00","200.5568790946992257","1679","145.40.89.243"
"2025-01-22 08:00:00+00","216.1955636900046439","36607","200.129.206.243"
"2025-01-22 09:00:00+00","380.4374946423979198","34997","10.0.0.1"
"2025-01-22 09:00:00+00","102.5380434782608696","368","10.0.2.1"
"2025-01-22 09:00:00+00","101.7719298245614035","114","10.0.3.1"
"2025-01-22 09:00:00+00","233.9801963343358112","35246","10.1.0.1"
"2025-01-22 09:00:00+00","151.0841821598101266","40448","10.230.53.144"
"2025-01-22 09:00:00+00","171.4363311936597687","43153","134.75.253.186"
"2025-01-22 09:00:00+00","164.7478482626713420","37644","134.75.254.171"
"2025-01-22 09:00:00+00","122.1464117178402893","16317","141.44.25.151"
"2025-01-22 09:00:00+00","200.5194380292532717","5196","145.40.89.243"
"2025-01-22 09:00:00+00","213.0287758346581876","37740","200.129.206.243"
"2025-01-22 10:00:00+00","380.2423924673657180","46730","10.0.0.1"
"2025-01-22 10:00:00+00","116.3703703703703704","27","10.0.1.1"
"2025-01-22 10:00:00+00","233.8730051189400783","39852","10.1.0.1"
"2025-01-22 10:00:00+00","151.0046341779895082","53947","10.230.53.144"
"2025-01-22 10:00:00+00","178.0479136257269294","43161","134.75.253.186"
"2025-01-22 10:00:00+00","167.7759571706683971","43148","134.75.254.171"
"2025-01-22 10:00:00+00","122.2278272035219664","10903","141.44.25.151"
"2025-01-22 10:00:00+00","200.3922127255460589","3159","145.40.89.243"
"2025-01-22 10:00:00+00","212.7793314578851564","24172","200.129.206.243"
