"src_addr","dst_addr","avg"
"10.10.0.1","200.129.206.243","214.5671238607477094"
"10.10.0.1","62.40.110.132","43.0370185236547215"
"10.10.0.1","62.40.110.140","39.3703617260466871"
"10.10.0.1","62.40.110.148","46.6996601542532458"
"10.230.53.144","128.112.49.68","9.2111836280367403"
"10.230.53.144","129.132.230.98","92.1196614114608130"
"10.230.53.144","134.75.253.186","308.7517130648996030"
"10.230.53.144","134.75.254.171","219.6252197841238672"
"10.230.53.144","134.75.254.214","219.7782609369671038"
"10.230.53.144","134.75.254.68","314.2847213069848333"
"10.230.53.144","137.132.22.29","236.7059032680144188"
"10.230.53.144","141.44.25.151","111.0367495251465852"
"10.230.53.144","145.40.89.243","3.0490161172558095"
"10.230.53.144","200.129.206.243","156.4210532101240908"
"10.230.53.144","62.40.110.132","80.0247691460111966"
"10.230.53.144","62.40.110.140","91.7194555247822157"
"10.230.53.144","62.40.110.148","88.0841864927165597"
"127.0.0.1","128.112.49.68","81.3383778841826693"
"127.0.0.1","129.132.230.98","124.3113877508767917"
"127.0.0.1","134.75.253.186","361.6204830154947174"
"127.0.0.1","134.75.254.171","267.7607971855112374"
"127.0.0.1","134.75.254.214","272.6335712907164093"
"127.0.0.1","134.75.254.68","388.4192693832693464"
"127.0.0.1","137.132.22.29","292.3287374493604019"
"127.0.0.1","141.44.25.151","145.1354669142731315"
"127.0.0.1","145.40.89.243","133.3620689655172414"
"127.0.0.1","200.129.206.243","133.0146395532997593"
"127.0.0.1","62.40.110.132","122.6389930813778270"
"127.0.0.1","62.40.110.140","122.3090103370114018"
"127.0.0.1","62.40.110.148","121.1980997104460086"
"141.44.25.151","128.112.49.68","105.0804230542754445"
"141.44.25.151","129.132.230.98","44.4072648390675066"
"141.44.25.151","134.75.253.186","25.1311179916989064"
"141.44.25.151","134.75.254.171","114.3482284172860381"
"141.44.25.151","134.75.254.214","267.2749563963115327"
"141.44.25.151","134.75.254.68","402.1742704812821630"
"141.44.25.151","137.132.22.29","200.3827411369404749"
"141.44.25.151","141.44.25.151","1.1598321177927618"
"141.44.25.151","145.40.89.243","110.0646091658285246"
"141.44.25.151","200.129.206.243","179.1269627721651794"
"141.44.25.151","62.40.110.132","36.8198717010388523"
"141.44.25.151","62.40.110.140","32.1633402279641518"
"141.44.25.151","62.40.110.148","40.1343252950985722"
