src_scion_addr,dst_scion_addr,avg_scion,mapped_src_ip,mapped_dst_ip,avg_ip
"71-225,10.230.53.144:0","71-20965,10.0.3.1:30041",102.37219799626578,,62.40.110.148,
"71-225,10.230.53.144:0","71-2:0:18,192.168.1.1:30041",280.3733856406553,,137.132.22.29,
"71-225,10.230.53.144:0","71-2:0:3b,10.1.0.1:30041",170.82328890305047,,134.75.254.214,
"71-225,10.230.53.144:0","71-2:0:3d,10.0.0.1:30041",278.6166842308554,,134.75.254.68,
"71-225,10.230.53.144:0","71-2:0:3e,10.10.0.1:30041",105.01226075962109,,134.75.253.186,
"71-225,10.230.53.144:0","71-2:0:3f,10.10.0.1:30041",16.243792190206893,,134.75.254.171,
"71-225,10.230.53.144:0","71-2:0:48,127.0.0.1:30041",34.03489481048319,,145.40.89.243,
"71-225,10.230.53.144:0","71-2:0:4a,141.44.25.151:30041",138.68519291741418,,141.44.25.151,
"71-225,10.230.53.144:0","71-2:0:5c,127.0.0.1:30041",183.98121280133128,,200.129.206.243,
"71-225,10.230.53.144:0","71-88,127.0.0.1:30041",33.892338681243885,,,
"71-2:0:3b,10.1.0.1:0","64-2:0:9,129.132.230.98:30041",266.2588380749146,,129.132.230.98,
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.1.1:30041",258.3217896385768,,62.40.110.132,
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.2.1:30041",250.29568419710768,,62.40.110.140,
"71-2:0:3b,10.1.0.1:0","71-20965,10.0.3.1:30041",258.49405951690215,,62.40.110.148,
"71-2:0:3b,10.1.0.1:0","71-225,127.0.0.1:30041",171.37286677577143,,,
"71-2:0:3b,10.1.0.1:0","71-2:0:18,192.168.1.1:30041",439.3639278426302,,137.132.22.29,
"71-2:0:3b,10.1.0.1:0","71-2:0:3d,10.0.0.1:30041",437.5935279666996,,134.75.254.68,
"71-2:0:3b,10.1.0.1:0","71-2:0:3e,10.10.0.1:30041",243.29919379849352,,134.75.253.186,
"71-2:0:3b,10.1.0.1:0","71-2:0:3f,10.10.0.1:30041",154.97442500867177,,134.75.254.171,
"71-2:0:3b,10.1.0.1:0","71-2:0:48,127.0.0.1:30041",232.07692564182767,,145.40.89.243,
"71-2:0:3b,10.1.0.1:0","71-2:0:4a,141.44.25.151:30041",282.2551107874488,,141.44.25.151,
"71-2:0:3b,10.1.0.1:0","71-2:0:5c,127.0.0.1:30041",342.5194868452257,,200.129.206.243,
"71-2:0:3b,10.1.0.1:0","71-88,127.0.0.1:30041",175.36684058315842,,,
"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",185.18216069624893,10.0.0.1,129.132.230.98,376.20650620898886
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",173.14389754704925,10.0.0.1,62.40.110.132,368.7943704951504
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041",177.2536867908916,10.0.0.1,62.40.110.140,363.6122455279282
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041",180.98933879175675,10.0.0.1,62.40.110.148,371.9859408660832
"71-2:0:3d,10.0.0.1:0","71-225,127.0.0.1:30041",279.64932870503185,10.0.0.1,,
"71-2:0:3d,10.0.0.1:0","71-2:0:18,192.168.1.1:30041",2.023399579377684,10.0.0.1,137.132.22.29,328.6581127179492
"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041",426.89007725916815,10.0.0.1,134.75.254.214,114.64776995098212
"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041",198.83185202752048,10.0.0.1,134.75.253.186,357.053146002145
"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041",272.921191890353,10.0.0.1,134.75.254.171,268.62204740030154
"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041",280.6014304458177,10.0.0.1,145.40.89.243,321.20772700590106
"71-2:0:3d,10.0.0.1:0","71-2:0:4a,141.44.25.151:30041",209.24176613788256,10.0.0.1,141.44.25.151,382.56987156165593
"71-2:0:3d,10.0.0.1:0","71-2:0:5c,127.0.0.1:30041",322.3458216649996,10.0.0.1,200.129.206.243,418.7503018184146
"71-2:0:3d,10.0.0.1:0","71-88,127.0.0.1:30041",283.09393750986226,10.0.0.1,,
"71-2:0:3e,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",25.63033597800699,10.10.0.1,129.132.230.98,63.19796622618322
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.1.1:30041",12.215505024561368,10.10.0.1,62.40.110.132,55.38365903721856
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.2.1:30041",7.194987686700087,10.10.0.1,62.40.110.140,50.77166634525826
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.3.1:30041",15.688873631701847,10.10.0.1,62.40.110.148,58.85280343390261
"71-2:0:3e,10.10.0.1:0","71-225,127.0.0.1:30041",105.12049712187526,10.10.0.1,,
"71-2:0:3e,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",185.76317573753232,10.10.0.1,137.132.22.29,435.7569890132681
"71-2:0:3e,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",243.0260744212818,10.10.0.1,134.75.254.214,198.1713777837953
"71-2:0:3e,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",184.04121846543237,10.10.0.1,134.75.254.68,308.88699470145
"71-2:0:3e,10.10.0.1:0","71-2:0:3f,10.10.0.1:30041",88.93645369716788,10.10.0.1,134.75.254.171,86.1200884725475
"71-2:0:3e,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",110.420763698773,10.10.0.1,145.40.89.243,435.10980834319133
"71-2:0:3e,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",42.67953087772432,10.10.0.1,141.44.25.151,69.34326816241399
"71-2:0:3e,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",143.210968042056,10.10.0.1,200.129.206.243,202.5249849321356
"71-2:0:3e,10.10.0.1:0","71-88,127.0.0.1:30041",109.13088857946268,10.10.0.1,,
"71-2:0:3f,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",112.29090524414936,10.10.0.1,129.132.230.98,63.19796622618322
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.1.1:30041",104.59633032880464,10.10.0.1,62.40.110.132,55.38365903721856
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.2.1:30041",96.08206007957075,10.10.0.1,62.40.110.140,50.77166634525826
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.3.1:30041",104.30212894745692,10.10.0.1,62.40.110.148,58.85280343390261
"71-2:0:3f,10.10.0.1:0","71-225,127.0.0.1:30041",17.30561221092212,10.10.0.1,,
"71-2:0:3f,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",282.7648378200239,10.10.0.1,137.132.22.29,435.7569890132681
"71-2:0:3f,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",154.88431810186395,10.10.0.1,134.75.254.214,198.1713777837953
"71-2:0:3f,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",281.15963708778173,10.10.0.1,134.75.254.68,308.88699470145
"71-2:0:3f,10.10.0.1:0","71-2:0:3e,10.10.0.1:30041",89.24403917447529,10.10.0.1,134.75.253.186,87.90115176569795
"71-2:0:3f,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",67.36138191081476,10.10.0.1,145.40.89.243,435.10980834319133
"71-2:0:3f,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",128.11005130153904,10.10.0.1,141.44.25.151,69.34326816241399
"71-2:0:3f,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",190.81403094726025,10.10.0.1,200.129.206.243,202.5249849321356
"71-2:0:3f,10.10.0.1:0","71-88,127.0.0.1:30041",21.292095668191465,10.10.0.1,,
"71-2:0:48,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",125.18690006276589,127.0.0.1,129.132.230.98,119.82449603479394
"71-2:0:48,127.0.0.1:0","71-20965,10.0.1.1:30041",100.16543528992432,127.0.0.1,62.40.110.132,120.2142949754416
"71-2:0:48,127.0.0.1:0","71-20965,10.0.2.1:30041",103.74215719794633,127.0.0.1,62.40.110.140,117.42155310242723
"71-2:0:48,127.0.0.1:0","71-20965,10.0.3.1:30041",97.08980442143447,127.0.0.1,62.40.110.148,118.1394146378692
"71-2:0:48,127.0.0.1:0","71-225,127.0.0.1:30041",41.101953811591336,127.0.0.1,,
"71-2:0:48,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",278.4254087341843,127.0.0.1,137.132.22.29,285.00112176063
"71-2:0:48,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",237.16809639719153,127.0.0.1,134.75.254.214,268.7631715845537
"71-2:0:48,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",276.50390937920974,127.0.0.1,134.75.254.68,367.2543381901753
"71-2:0:48,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",112.83628920136258,127.0.0.1,134.75.253.186,373.1647190208423
"71-2:0:48,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",86.89105037123308,127.0.0.1,134.75.254.171,279.5529663277594
"71-2:0:48,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",129.54270724793565,127.0.0.1,141.44.25.151,141.26782312147537
"71-2:0:48,127.0.0.1:0","71-2:0:5c,127.0.0.1:30041",180.02695790137875,127.0.0.1,200.129.206.243,133.49446346793613
"71-2:0:48,127.0.0.1:0","71-88,127.0.0.1:30041",42.069812947545806,127.0.0.1,,
"71-2:0:4a,141.44.25.151:0","64-2:0:9,129.132.230.98:30041",54.84251538257232,141.44.25.151,129.132.230.98,44.28847436225751
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.1.1:30041",48.72718594677037,141.44.25.151,62.40.110.132,36.96812354061187
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.2.1:30041",32.176819821688866,141.44.25.151,62.40.110.140,32.03049947646368
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.3.1:30041",40.689549113809,141.44.25.151,62.40.110.148,40.03351751314151
"71-2:0:4a,141.44.25.151:0","71-225,127.0.0.1:30041",139.10095762799455,141.44.25.151,,
"71-2:0:4a,141.44.25.151:0","71-2:0:18,192.168.1.1:30041",210.8220346813229,141.44.25.151,137.132.22.29,202.979318064711
"71-2:0:4a,141.44.25.151:0","71-2:0:3b,10.1.0.1:30041",291.6617356708972,141.44.25.151,134.75.254.214,266.82142866201485
"71-2:0:4a,141.44.25.151:0","71-2:0:3d,10.0.0.1:30041",209.0890636102622,141.44.25.151,134.75.254.68,376.3474065505905
"71-2:0:4a,141.44.25.151:0","71-2:0:3e,10.10.0.1:30041",39.19026270316972,141.44.25.151,134.75.253.186,25.22025765458768
"71-2:0:4a,141.44.25.151:0","71-2:0:3f,10.10.0.1:30041",137.2624758191781,141.44.25.151,134.75.254.171,114.04303586871892
"71-2:0:4a,141.44.25.151:0","71-2:0:48,127.0.0.1:30041",129.88620296644473,141.44.25.151,145.40.89.243,110.43489914845487
"71-2:0:4a,141.44.25.151:0","71-2:0:5c,127.0.0.1:30041",176.20798198256975,141.44.25.151,200.129.206.243,178.38634475504753
"71-2:0:4a,141.44.25.151:0","71-88,127.0.0.1:30041",141.6682164109814,141.44.25.151,,
"71-2:0:5c,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",142.8270815525385,127.0.0.1,129.132.230.98,119.82449603479394
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.1.1:30041",130.94152868029337,127.0.0.1,62.40.110.132,120.2142949754416
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.2.1:30041",144.30005761314726,127.0.0.1,62.40.110.140,117.42155310242723
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.3.1:30041",136.0978723348954,127.0.0.1,62.40.110.148,118.1394146378692
"71-2:0:5c,127.0.0.1:0","71-225,127.0.0.1:30041",252.8799872773908,127.0.0.1,,
"71-2:0:5c,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",305.3689866939611,127.0.0.1,137.132.22.29,285.00112176063
"71-2:0:5c,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",385.5587258980781,127.0.0.1,134.75.254.214,268.7631715845537
"71-2:0:5c,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",303.72338000402607,127.0.0.1,134.75.254.68,367.2543381901753
"71-2:0:5c,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",150.59304970162333,127.0.0.1,134.75.253.186,373.1647190208423
"71-2:0:5c,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",233.19347866991416,127.0.0.1,134.75.254.171,279.5529663277594
"71-2:0:5c,127.0.0.1:0","71-2:0:48,127.0.0.1:30041",244.25422569985184,127.0.0.1,145.40.89.243,131.30342094030124
"71-2:0:5c,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",176.64884121675297,127.0.0.1,141.44.25.151,141.26782312147537
"71-2:0:5c,127.0.0.1:0","71-88,127.0.0.1:30041",255.69254585688893,127.0.0.1,,
