src_scion_addr,dst_scion_addr,mapped_src_ip,mapped_dst_ip,avg_scion,avg_ip
"71-2:0:4a,141.44.25.151:0","71-2:0:3f,10.10.0.1:30041",141.44.25.151,134.75.254.171,141.38430392155064,114.68953224783202
"71-2:0:4a,141.44.25.151:0","71-2:0:48,127.0.0.1:30041",141.44.25.151,145.40.89.243,130.5205066761314,110.48807043542885
"71-2:0:4a,141.44.25.151:0","71-2:0:5c,127.0.0.1:30041",141.44.25.151,200.129.206.243,175.91332002585304,178.4591030867537
"71-2:0:5c,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",127.0.0.1,129.132.230.98,142.41313424468166,122.09313203295494
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.1.1:30041",127.0.0.1,62.40.110.132,130.4655645595912,122.07455953367186
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.2.1:30041",127.0.0.1,62.40.110.140,143.8116073819107,120.76819545963856
"71-2:0:5c,127.0.0.1:0","71-20965,10.0.3.1:30041",127.0.0.1,62.40.110.148,135.50532589842902,120.50599820807278
"71-2:0:5c,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",127.0.0.1,137.132.22.29,305.9379672782019,288.0860023207373
"71-2:0:5c,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",127.0.0.1,134.75.254.214,385.51538678352426,271.35730870960305
"71-2:0:5c,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",127.0.0.1,134.75.254.68,304.2801256941663,366.4272425592551
"71-2:0:5c,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",127.0.0.1,134.75.253.186,149.8974163414164,365.3984118951883
"71-2:0:5c,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",127.0.0.1,134.75.254.171,232.85035700854138,271.4627134452416
"71-2:0:5c,127.0.0.1:0","71-2:0:48,127.0.0.1:30041",127.0.0.1,145.40.89.243,244.3209914529438,124.35333059804782
"71-2:0:5c,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",127.0.0.1,141.44.25.151,176.11828690417371,143.9510047147851
