hour,src_scion_addr,dst_scion_addr,avg,src_ip_addr
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041",191.0692821368948,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041",279.05676126878126,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041",337.99720201454954,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:4a,141.44.25.151:30041",216.1905954368392,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:5c,127.0.0.1:30041",321.45239420935405,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-88,127.0.0.1:30041",304.4415802745867,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",19.77079276773296,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.1.1:30041",12.225034770514604,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.2.1:30041",7.302642559109875,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.3.1:30041",15.80250347705146,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-225,127.0.0.1:30041",105.13184979137692,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",192.71961057023643,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",243.019471488178,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",190.9385257301808,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3f,10.10.0.1:30041",88.9682892906815,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",161.26915575369185,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",39.289847009735745,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",141.49680111265647,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-88,127.0.0.1:30041",109.13908205841446,10.10.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",166.3697902097902,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-20965,10.0.1.1:30041",170.34423937360177,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-20965,10.0.2.1:30041",154.04389152921442,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-20965,10.0.3.1:30041",162.4359619686801,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-225,127.0.0.1:30041",232.4658836689038,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",339.4144699943915,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",406.88587412587407,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",337.78210880538415,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",160.83459277917717,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",249.4820928931169,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",121.97092535644394,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:5c,127.0.0.1:30041",296.7292307692308,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-88,127.0.0.1:30041",225.86800894854585,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",141.35005574136008,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.1.1:30041",129.68729096989966,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.2.1:30041",142.70504599944243,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.3.1:30041",134.38050139275765,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-225,127.0.0.1:30041",265.86865588399326,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",310.66322832450516,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",384.1898522442152,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",308.86629526462394,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",141.4288102535525,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",229.99358974358972,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:48,127.0.0.1:30041",297.64723926380367,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",174.84137161973794,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-88,127.0.0.1:30041",266.1419408812047,127.0.0.1
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",191.82998324958123,10.0.0.1
2025-01-20 02:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",180.107202680067,10.0.0.1
