"minute","avg_rtt","success_ratio","prcount"
"2025-01-20 01:10:00+00","174.0412272291466922","1.00000000000000000000","5215"
"2025-01-20 01:11:00+00","174.1379243827160494","1.00000000000000000000","5184"
"2025-01-20 01:12:00+00","170.9296889048732242","1.00000000000000000000","5561"
"2025-01-20 01:13:00+00","168.3156462585034014","1.00000000000000000000","5880"
"2025-01-20 01:14:00+00","168.5768702814001373","1.00000000000000000000","5828"
"2025-01-20 01:15:00+00","169.0551868669228082","1.00000000000000000000","5726"
"2025-01-20 01:16:00+00","167.8154761904761905","1.00000000000000000000","5880"
"2025-01-20 01:17:00+00","167.6444520197716039","1.00000000000000000000","5867"
"2025-01-20 01:18:00+00","167.8508503401360544","1.00000000000000000000","5880"
"2025-01-20 01:19:00+00","167.8316326530612245","1.00000000000000000000","5880"
