"hour","avg_rtt","success_ratio","prcount","src_scion_addr"
"2025-01-20 04:00:00+00","232.5071747824041402","1.00000000000000000000","46761","71-2:0:48,127.0.0.1:0"
"2025-01-20 04:00:00+00","223.8374572649572650","1.00000000000000000000","46800","71-2:0:5c,127.0.0.1:0"
"2025-01-20 05:00:00+00","123.0492371056819246","1.00000000000000000000","21366","71-20965,10.0.1.1:0"
"2025-01-20 05:00:00+00","117.6163989087602304","1.00000000000000000000","39588","71-20965,10.0.2.1:0"
"2025-01-20 05:00:00+00","122.0662121212121212","1.00000000000000000000","39600","71-20965,10.0.3.1:0"
"2025-01-20 05:00:00+00","240.0942176409421764","1.00000000000000000000","22119","71-2:0:3d,10.0.0.1:0"
"2025-01-20 05:00:00+00","101.9775213675213675","1.00000000000000000000","46800","71-2:0:3e,10.10.0.1:0"
"2025-01-20 05:00:00+00","232.4510780144874890","1.00000000000000000000","46799","71-2:0:48,127.0.0.1:0"
"2025-01-20 05:00:00+00","223.6593803418803419","1.00000000000000000000","46800","71-2:0:5c,127.0.0.1:0"
"2025-01-20 06:00:00+00","117.6270715440582053","1.00000000000000000000","39584","71-20965,10.0.2.1:0"
"2025-01-20 06:00:00+00","122.1407860459848227","1.00000000000000000000","8829","71-20965,10.0.3.1:0"
"2025-01-20 06:00:00+00","101.9818585867219385","1.00000000000000000000","46799","71-2:0:3e,10.10.0.1:0"
"2025-01-20 06:00:00+00","232.6434310624839730","1.00000000000000000000","46796","71-2:0:48,127.0.0.1:0"
"2025-01-20 06:00:00+00","223.6080489003825686","1.00000000000000000000","46789","71-2:0:5c,127.0.0.1:0"
"2025-01-20 07:00:00+00","117.6797222222222222","1.00000000000000000000","39600","71-20965,10.0.2.1:0"
"2025-01-20 07:00:00+00","101.9687680369396524","1.00000000000000000000","46779","71-2:0:3e,10.10.0.1:0"
"2025-01-20 07:00:00+00","232.7542948717948718","1.00000000000000000000","46800","71-2:0:48,127.0.0.1:0"
"2025-01-20 07:00:00+00","120.0880713489409142","1.00000000000000000000","897","71-2:0:4a,141.44.25.151:0"
"2025-01-20 07:00:00+00","223.7282264957264957","1.00000000000000000000","46800","71-2:0:5c,127.0.0.1:0"
"2025-01-20 08:00:00+00","118.1235645267364800","1.00000000000000000000","39534","71-20965,10.0.2.1:0"
"2025-01-20 08:00:00+00","101.9802358873552412","1.00000000000000000000","46802","71-2:0:3e,10.10.0.1:0"
"2025-01-20 08:00:00+00","232.4386261864461252","1.00000000000000000000","46673","71-2:0:48,127.0.0.1:0"
"2025-01-20 08:00:00+00","120.0186271127975164","1.00000000000000000000","46384","71-2:0:4a,141.44.25.151:0"
