"minute","avg_rtt","prcount"
"2025-01-20 03:48:00+00","261.4510361641609102","2461"
"2025-01-20 03:49:00+00","261.5674796747967480","2460"
"2025-01-20 03:50:00+00","261.4542868752539618","2461"
"2025-01-20 03:51:00+00","254.5777171795870666","2567"
"2025-01-20 03:52:00+00","261.4006501422186103","2461"
"2025-01-20 03:53:00+00","261.3261575954508530","2462"
"2025-01-20 03:54:00+00","250.9928825622775801","2810"
"2025-01-20 03:55:00+00","246.6511547742157877","2901"
"2025-01-20 03:56:00+00","257.4677763551002988","2343"
"2025-01-20 03:57:00+00","257.6838957710380179","2341"
"2025-01-20 03:58:00+00","257.7901709401709402","2340"
"2025-01-20 03:59:00+00","257.6864587782998718","2341"
"2025-01-20 04:00:00+00","257.3575085324232082","2344"
"2025-01-20 04:01:00+00","257.4741784037558685","2343"
"2025-01-20 04:02:00+00","257.2669509594882729","2345"
"2025-01-20 04:03:00+00","257.6864587782998718","2341"
"2025-01-20 04:04:00+00","257.5695986336464560","2342"
"2025-01-20 04:05:00+00","257.5760034158838599","2342"
"2025-01-20 04:06:00+00","257.7863247863247863","2340"
"2025-01-20 04:07:00+00","257.5742954739538856","2342"
"2025-01-20 04:08:00+00","257.6941478000854336","2341"
"2025-01-20 04:09:00+00","257.6813327637761640","2341"
"2025-01-20 04:10:00+00","257.6997009824861170","2341"
"2025-01-20 04:11:00+00","257.9141025641025641","2340"
"2025-01-20 04:12:00+00","257.6500213401621852","2343"
"2025-01-20 04:13:00+00","257.9452991452991453","2340"
"2025-01-20 04:14:00+00","257.7224594363791631","2342"
"2025-01-20 04:15:00+00","258.1081196581196581","2340"
"2025-01-20 04:16:00+00","257.9388888888888889","2340"
"2025-01-20 04:17:00+00","257.8376762067492525","2341"
"2025-01-20 04:18:00+00","257.8321230243485690","2341"
"2025-01-20 04:19:00+00","257.7263023057216055","2342"
"2025-01-20 04:20:00+00","257.8410935497650577","2341"
"2025-01-20 04:21:00+00","257.6329492104139991","2343"
"2025-01-20 04:22:00+00","257.7403928266438941","2342"
"2025-01-20 04:23:00+00","257.8372490388722768","2341"
"2025-01-20 04:24:00+00","257.7309991460290350","2342"
"2025-01-20 04:25:00+00","257.8948717948717949","2340"
"2025-01-20 04:26:00+00","257.8428022212729603","2341"
"2025-01-20 04:27:00+00","257.9534188034188034","2340"
"2025-01-20 04:28:00+00","244.2599539322145443","3039"
"2025-01-20 04:29:00+00","242.6370207416719045","3182"
"2025-01-20 04:30:00+00","242.5805843543826579","3183"
"2025-01-20 04:31:00+00","242.6888749214330610","3182"
"2025-01-20 04:32:00+00","242.5201131363922062","3182"
"2025-01-20 04:33:00+00","242.3838669177652228","3186"
"2025-01-20 04:34:00+00","242.4241758241758242","3185"
"2025-01-20 04:35:00+00","242.4364207221350078","3185"
"2025-01-20 04:36:00+00","242.5314070351758794","3184"
"2025-01-20 04:37:00+00","242.6580766813324953","3182"
"2025-01-20 04:38:00+00","242.6580766813324953","3182"
"2025-01-20 04:39:00+00","242.6539912005028284","3182"
"2025-01-20 04:40:00+00","242.6010053408733899","3183"
"2025-01-20 04:41:00+00","242.5937794533459001","3183"
"2025-01-20 04:42:00+00","242.6753614079195475","3182"
"2025-01-20 04:43:00+00","242.5761859880615771","3183"
"2025-01-20 04:44:00+00","242.6527341294783155","3182"
"2025-01-20 04:45:00+00","242.5763670647391578","3182"
"2025-01-20 04:46:00+00","242.5808985234055922","3183"
"2025-01-20 04:47:00+00","242.7243005344231374","3181"
"2025-01-20 04:48:00+00","242.7346746306193021","3181"
"2025-01-20 04:49:00+00","242.6499057196731615","3182"
"2025-01-20 04:50:00+00","242.6621621621621622","3182"
"2025-01-20 04:51:00+00","242.6047753691486019","3183"
"2025-01-20 04:52:00+00","242.8106918238993711","3180"
"2025-01-20 04:53:00+00","242.7584905660377358","3180"
"2025-01-20 04:54:00+00","242.7359320968248978","3181"
"2025-01-20 04:55:00+00","242.7233574347689406","3181"
"2025-01-20 04:56:00+00","242.4605965463108320","3185"
"2025-01-20 04:57:00+00","242.5771284951303801","3183"
"2025-01-20 04:58:00+00","242.5160175879396985","3184"
"2025-01-20 04:59:00+00","242.5125628140703518","3184"
"2025-01-20 05:00:00+00","242.7086737900691389","3182"
"2025-01-20 05:01:00+00","242.5221489161168709","3183"
"2025-01-20 05:02:00+00","242.5012562814070352","3184"
"2025-01-20 05:03:00+00","245.8565188172043011","2976"
"2025-01-20 05:04:00+00","257.9478632478632479","2340"
"2025-01-20 05:05:00+00","257.5204778156996587","2344"
"2025-01-20 05:06:00+00","257.8487825715506194","2341"
"2025-01-20 05:07:00+00","257.7361229718189582","2342"
"2025-01-20 05:08:00+00","257.5332764505119454","2344"
"2025-01-20 05:09:00+00","257.7412467976088813","2342"
"2025-01-20 05:10:00+00","257.6308151941954759","2343"
"2025-01-20 05:11:00+00","257.9606837606837607","2340"
"2025-01-20 05:12:00+00","257.7280102476515798","2342"
"2025-01-20 05:13:00+00","257.6235595390524968","2343"
"2025-01-20 05:14:00+00","257.9529914529914530","2340"
"2025-01-20 05:15:00+00","257.8615976078598889","2341"
"2025-01-20 05:16:00+00","257.9816160752458316","2339"
"2025-01-20 05:17:00+00","257.9470085470085470","2340"
"2025-01-20 05:18:00+00","257.8385305425032038","2341"
"2025-01-20 05:19:00+00","254.1909569798068481","2278"
"2025-01-20 05:20:00+00","257.9653846153846154","2340"
"2025-01-20 05:21:00+00","257.8504912430585220","2341"
"2025-01-20 05:22:00+00","257.8620247757368646","2341"
"2025-01-20 05:23:00+00","257.9564102564102564","2340"
