hour,avg_rtt,success_ratio,prcount,src_scion_addr,src_addr
2025-01-21 14:00:00+00:00,156.5408900888347,1.0,45928,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 14:00:00+00:00,280.98246856358094,1.0,46602,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 14:00:00+00:00,99.8135230227933,1.0,13074,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 14:00:00+00:00,138.8651213607832,1.0,46679,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 14:00:00+00:00,183.24628399575928,1.0,46219,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 14:00:00+00:00,124.30007709109596,1.0,46698,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 14:00:00+00:00,221.27492758287735,1.0,46605,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 15:00:00+00:00,157.09547398743015,1.0,45824,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 15:00:00+00:00,278.4107473883933,1.0,45853,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 15:00:00+00:00,225.92130683037823,1.0,46586,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-21 15:00:00+00:00,98.10342958228715,1.0,35048,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 15:00:00+00:00,138.31543509027748,1.0,46634,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 15:00:00+00:00,181.4472562943835,1.0,46470,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 15:00:00+00:00,123.98461571379664,1.0,46736,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 15:00:00+00:00,213.48757863998452,1.0,46573,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 16:00:00+00:00,157.41317131387652,1.0,46085,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 16:00:00+00:00,280.64528885832186,1.0,46528,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 16:00:00+00:00,226.4465466884288,1.0,46564,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-21 16:00:00+00:00,98.44277424466284,1.0,46701,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 16:00:00+00:00,138.1128194944824,1.0,35251,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 16:00:00+00:00,183.3579613733905,1.0,46600,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 16:00:00+00:00,124.13753279710956,1.0,46498,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 16:00:00+00:00,216.56664361656152,1.0,46276,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 17:00:00+00:00,147.90425037316172,1.0,40867,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 17:00:00+00:00,275.1765681191911,1.0,42822,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 17:00:00+00:00,224.8495221966856,1.0,41335,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-21 17:00:00+00:00,97.58054669071737,1.0,43242,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 17:00:00+00:00,133.94880556873912,1.0,31605,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 17:00:00+00:00,183.09228039041705,1.0,1127,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 17:00:00+00:00,124.60777469637564,1.0,41828,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 17:00:00+00:00,216.046151996152,1.0,41580,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 18:00:00+00:00,152.59207315682653,1.0,43851,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 18:00:00+00:00,276.43731404769534,1.0,43694,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 18:00:00+00:00,223.7060678429827,1.0,43129,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-21 18:00:00+00:00,97.46535469107552,1.0,10925,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 18:00:00+00:00,132.93746059176573,1.0,42821,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 18:00:00+00:00,217.81556930635705,1.0,43149,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 19:00:00+00:00,135.45891352931065,1.0,46536,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 19:00:00+00:00,280.9797150654318,1.0,46537,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 19:00:00+00:00,226.77791812965657,1.0,46708,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-21 19:00:00+00:00,98.13077976938007,1.0,35036,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 19:00:00+00:00,137.49934557829064,1.0,45842,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 19:00:00+00:00,154.52387929963987,1.0,40265,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 19:00:00+00:00,124.02061457192552,1.0,46569,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 19:00:00+00:00,216.4301965065502,1.0,45800,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 20:00:00+00:00,128.30843988672444,1.0,46612,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 20:00:00+00:00,280.8016944438501,1.0,46741,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 20:00:00+00:00,226.9846851711848,1.0,46295,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-21 20:00:00+00:00,98.12987653262452,1.0,46652,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 20:00:00+00:00,138.45156927568587,1.0,46582,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 20:00:00+00:00,150.16360364991647,1.0,46686,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 20:00:00+00:00,124.07706787020598,1.0,46751,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 20:00:00+00:00,215.7390080138618,1.0,36936,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 21:00:00+00:00,125.3211388665055,1.0,37230,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 21:00:00+00:00,279.3483436600478,1.0,40994,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 21:00:00+00:00,226.7623185288741,1.0,46495,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-21 21:00:00+00:00,98.05970352545911,1.0,44051,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 21:00:00+00:00,138.45248022696012,1.0,46528,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 21:00:00+00:00,150.1028278741445,1.0,46466,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 21:00:00+00:00,123.86895334825272,1.0,46472,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 21:00:00+00:00,215.80415549984153,1.0,34701,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 22:00:00+00:00,121.2929408899558,1.0,28743,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 22:00:00+00:00,275.12968318872373,1.0,30081,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 22:00:00+00:00,94.3706896551724,1.0,28768,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 22:00:00+00:00,137.09540723813308,1.0,40259,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 22:00:00+00:00,144.7570132443425,1.0,28767,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 22:00:00+00:00,120.36274816591911,1.0,28761,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 22:00:00+00:00,212.8585197814816,1.0,28739,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-21 23:00:00+00:00,126.68481276005548,1.0,40376,"71-225,10.230.53.144:0",10.230.53.144
2025-01-21 23:00:00+00:00,279.2947715007179,1.0,40394,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-21 23:00:00+00:00,229.44459031011593,1.0,40372,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-21 23:00:00+00:00,97.2230406090116,1.0,40459,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-21 23:00:00+00:00,138.61969752069652,1.0,46747,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-21 23:00:00+00:00,148.94605449091404,1.0,40337,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-21 23:00:00+00:00,123.07771021800384,1.0,40458,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-21 23:00:00+00:00,215.35798213425255,1.0,26979,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 00:00:00+00:00,128.21044546851,1.0,23436,"71-225,10.230.53.144:0",10.230.53.144
2025-01-22 00:00:00+00:00,279.9811474327951,1.0,45458,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 00:00:00+00:00,226.11237337030656,1.0,44717,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 00:00:00+00:00,98.09474391195076,1.0,46156,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 00:00:00+00:00,137.8617748551338,1.0,46077,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 00:00:00+00:00,149.9948562625656,1.0,38299,"71-2:0:48,127.0.0.1:0",127.0.0.1
2025-01-22 00:00:00+00:00,123.94388723231228,1.0,18445,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 00:00:00+00:00,216.98679275270183,1.0,62920,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 01:00:00+00:00,274.73806082900876,1.0,30446,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 01:00:00+00:00,225.51235424426105,1.0,41079,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 01:00:00+00:00,97.62706798276099,1.0,43158,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 01:00:00+00:00,133.9980512701543,1.0,43105,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 01:00:00+00:00,216.96395494950437,1.0,42974,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 02:00:00+00:00,272.9255989911728,1.0,31720,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 02:00:00+00:00,225.34568075781135,1.0,42438,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 02:00:00+00:00,96.76916413018029,1.0,42710,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 02:00:00+00:00,133.06213915838342,1.0,33602,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 02:00:00+00:00,124.79360628154797,1.0,85584,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 02:00:00+00:00,216.63227795290192,1.0,43144,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 03:00:00+00:00,274.0953921155018,1.0,42666,"71-2:0:3b,10.1.0.1:0",10.1.0.1
2025-01-22 03:00:00+00:00,224.67930522703028,1.0,43122,"71-2:0:3d,10.0.0.1:0",10.0.0.1
2025-01-22 03:00:00+00:00,97.48292694265592,1.0,43021,"71-2:0:3e,10.10.0.1:0",10.10.0.1
2025-01-22 03:00:00+00:00,133.6432541687721,1.0,37601,"71-2:0:3f,10.10.0.1:0",10.10.0.1
2025-01-22 03:00:00+00:00,124.63030625682984,1.0,71378,"71-2:0:4a,141.44.25.151:0",141.44.25.151
2025-01-22 03:00:00+00:00,216.6863527719119,1.0,43093,"71-2:0:5c,127.0.0.1:0",127.0.0.1
2025-01-22 04:00:00+00:00,274.2361156484809,1.0,12244,"71-2:0:3b,10.1.0.1:0",10.1.0.1
