"src_scion_addr","dst_scion_addr","avg_paths","min_paths","max_paths","avg_diff_to_max","median_diff_to_max","avg_min_hops","avg_max_hops"
"71-2:0:3e,10.10.0.1:0","71-225,127.0.0.1:30041","43.3624053980122185","3","55","11.6375946019877815","2","4.0844351235524756","7.2549466581562870"
"71-2:0:3e,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041","15.8744942648592284","5","25","9.1255057351407716","4","4.1778519290928050","6.7008133472367049"
"71-2:0:3e,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041","15.1140574389980566","4","21","5.8859425610019434","0","4.0000000000000000","6.4777369898510041"
"71-2:0:3e,10.10.0.1:0","71-2:0:3f,10.10.0.1:30041","15.1889560325067722","3","23","7.8110439674932278","2","2.1775369868722651","4.7015628255886643"
"71-2:0:3e,10.10.0.1:0","71-2:0:48,127.0.0.1:30041","15.8562061534228988","3","17","1.14379384657710119675","0","6.0000000000000000","6.0000000000000000"
"71-2:0:3e,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041","14.7378170894526035","3","21","6.2621829105473965","0","4.0000000000000000","6.5240320427236315"
"71-2:0:3e,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041","40.3808787258057774","5","57","16.6191212741942226","0","4.0005016512687597","6.8066552401655449"
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.1.1:30041","13.3261531145981931","5","17","3.6738468854018069","0","4.0000000000000000","4.0000000000000000"
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.2.1:30041","13.3261531145981931","5","17","3.6738468854018069","0","4.0000000000000000","4.0000000000000000"
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.3.1:30041","13.3323180888021701","5","17","3.6676819111978299","0","4.0000000000000000","4.0000000000000000"
"71-2:0:3f,10.10.0.1:0","71-225,127.0.0.1:30041","38.6048932847475273","2","46","7.3951067152524727","4","2.0006246746486205","7.4615304528891202"
"71-2:0:3f,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041","3.0000000000000000","3","3","0.000000000000000000000000","0","2.0000000000000000","2.0000000000000000"
"71-2:0:3f,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041","17.3492761500074114","8","21","3.6507238499925886","0","6.0000000000000000","6.0000000000000000"
"71-2:0:3f,10.10.0.1:0","71-2:0:3e,10.10.0.1:30041","15.7585190817926905","3","23","7.2414809182073095","2","2.2070243809704862","4.8164060643505537"
"71-2:0:3f,10.10.0.1:0","71-2:0:48,127.0.0.1:30041","20.3330363693533173","2","25","4.6669636306466827","4","4.6051776543339273","7.7723509066135625"
