src_scion_addr,dst_scion_addr,avg_paths,min_paths,max_paths,avg_diff_to_max,median_diff_to_max,avg_min_hops,avg_max_hops
71-2:0:4a,71-20965,1.9999511750023504,1.0,2.0,4.8824997649700006e-05,0.0,2.0,2.0
71-2:0:4a,71-225,37.18055186346962,4.0,45.0,7.819448136530384,0.0,5.905577117337445,9.516295390504544
71-2:0:4a,71-2:0:3b,25.666126418152352,8.0,33.0,7.3338735818476515,0.0,8.0,8.0
71-2:0:4a,71-2:0:3d,2.9996948893974062,1.0,3.0,0.0003051106025934,0.0,4.0,4.0
71-2:0:4a,71-2:0:3e,19.113371238113913,2.0,27.0,7.886628761886089,0.0,4.000196059209881,6.611116557200274
71-2:0:4a,71-2:0:3f,13.344111756948177,4.0,17.0,3.655888243051824,0.0,6.0,6.0
71-2:0:4a,71-2:0:48,13.275690143801826,2.0,15.0,1.7243098561981736,0.0,5.826598089639971,9.021727721213392
71-2:0:4a,71-2:0:5c,13.831509954661936,2.0,17.0,3.168490045338064,0.0,4.000689927064853,8.554701360141928
71-2:0:5c,71-20965,3.0,3.0,3.0,0.0,0.0,2.0,2.0
71-2:0:5c,71-225,73.63458937198067,9.0,89.0,15.365410628019324,0.0,6.03855072463768,9.521932367149759
71-2:0:5c,71-2:0:3b,49.12037075350685,16.0,65.0,15.879629246493153,0.0,8.0,8.0
71-2:0:5c,71-2:0:3d,4.999914599257013,4.0,5.0,8.54007429864e-05,0.0,4.0,4.0
71-2:0:5c,71-2:0:3e,35.98329612172331,4.0,53.0,17.016703878276687,0.0,4.0,6.528404862317043
71-2:0:5c,71-2:0:3f,25.05829577872411,8.0,33.0,7.9417042212758915,0.0,6.0,6.0
71-2:0:5c,71-2:0:48,25.32730996813837,3.0,29.0,3.6726900318616296,0.0,6.0,9.083477469276286
71-2:0:5c,71-2:0:4a,3.1739838830419655,2.0,5.0,1.8260161169580345,2.0,4.0,4.0
